Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,,Sequence Number,Action Flags,Source Country,Destination Country,,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received,UUID for rule,HTTP/2 Connection,link_change_count,policy_id,link_switches,sdwan_cluster,sdwan_device_type,sdwan_cluster_type,sdwan_site,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,Source Dynamic Address Group,Destination Dynamic Address Group,session_owner,High Res Timestamp,nssai_sst,nssai_sd,Subcategory of app,Category of app,Technology of app,Risk of app,Characteristic of app,Container of app,Tunneled app,SaaS of app,Sanctioned State of app,offloaded,flow_type,cluster_name,AI Traffic,AI Forward Error,K8S Cluster ID,tcp_rtt_c2s,tcp_rtt_s2c,total_n_ooseq_c2s,total_n_ooseq_s2c,tcp_retransit_cnt_c2s,tcp_retransit_cnt_s2c,tcp_zero_window_cnt_c2s,tcp_zero_window_cnt_s2c
1,9/2/25 8:18,025409001032,TRAFFIC,end,2818,9/2/25 8:18,10.61.9.5,10.138.205.250,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:18,4964870,1,56073,80,0,0,0x1c,tcp,allow,6192,1986,4206,35,9/2/25 8:16,116,private-ip-addresses,,7543384744895066992,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,20,15,tcp-rst-from-server,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:18:58.536-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:18,025409001032,TRAFFIC,end,2818,9/2/25 8:18,10.61.9.5,10.160.48.51,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:18,7225348,1,55989,80,0,0,0x1c,tcp,allow,7482,2402,5080,41,9/2/25 8:16,120,private-ip-addresses,,7543384744894978663,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,24,17,tcp-rst-from-server,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Printer,Lexmark Printer,M3250,"Lexmark International, Inc.",,,QPCCall1,78:8c:77:8c:7e:0f,,,,,,,,,,,2025-09-02T08:18:44.557-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.26.45,,,cloud-to-dmz,,,ssl,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,3367338,1,55950,443,0,0,0x41a,tcp,allow,8560,1033,7527,18,9/2/25 8:16,100,private-ip-addresses,,7543384744894695190,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,8,10,tcp-rst-from-client,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:57.511-05:00,,,encrypted-tunnel,networking,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,ssl,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.40.38,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,1283345,1,55948,80,0,0,0x1c,tcp,allow,1046,456,590,11,9/2/25 8:15,100,private-ip-addresses,,7543384744894684937,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,6,5,tcp-fin,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:55.541-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.32.132,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,3254972,1,55947,80,0,0,0x1c,tcp,allow,1059,457,602,11,9/2/25 8:15,100,private-ip-addresses,,7543384744894684686,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,6,5,tcp-fin,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Printer,HP-Printer,,HP Inc.,LynxOS,LynxOS,5c:60:ba:8f:98:9f,5c:60:ba:8f:98:9f,,,,,,,,,,,2025-09-02T08:17:55.534-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.26.45,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,3927660,1,55936,80,0,0,0x1c,tcp,allow,1058,456,602,11,9/2/25 8:15,100,private-ip-addresses,,7543384744894652716,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,6,5,tcp-fin,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:50.501-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.40.37,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,7573841,1,55926,80,0,0,0x1c,tcp,allow,1046,456,590,11,9/2/25 8:15,100,private-ip-addresses,,7543384744894630507,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,6,5,tcp-fin,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:46.543-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.138.205.250,,,cloud-to-dmz,,,snmpv1-get-request,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,1479338,1,50267,161,0,0,0x19,udp,allow,70060,34760,35300,720,9/2/25 8:16,38,any,,7543384744894606650,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,360,360,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:42.572-05:00,,,infrastructure,networking,client-server,2,"has-known-vulnerability,pervasive-use",snmp,untunneled,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.150.254.240,,,cloud-to-dmz,,,web-browsing,vsys1,zone-internal,zone-dmz,ae1.10,ae1.67,,9/2/25 8:17,180596,1,55919,80,0,0,0x1c,tcp,allow,1060,458,602,11,9/2/25 8:15,100,private-ip-addresses,,7543384744894604870,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,6,5,tcp-fin,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02T08:17:42.522-05:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
1,9/2/25 8:17,025409001032,TRAFFIC,end,2818,9/2/25 8:17,10.61.9.5,10.160.48.51,,,cloud-to-dmz,,,snmpv1-get-request,vsys1,zone-internal,zone-dmz,ae1.10,ae1.66,,9/2/25 8:17,3747461,1,50267,161,0,0,0x19,udp,allow,58947,29274,29673,606,9/2/25 8:16,31,any,,7543384744894502884,0x8000000000000000,10.0.0.0-10.255.255.255,10.0.0.0-10.255.255.255,,303,303,aged-out,45,44,37,0,,Campus-TMC-fw1,from-policy,,,0,,0,,N/A,0,0,0,0,ea7cbc7d-7bd5-411a-923c-45ddfe1928f6,0,0,,,,,,,,,,,,,,,,,Printer,Lexmark Printer,M3250,"Lexmark International, Inc.",,,QPCCall1,78:8c:77:8c:7e:0f,,,,,,,,,,,2025-09-02T08:17:25.515-05:00,,,infrastructure,networking,client-server,2,"has-known-vulnerability,pervasive-use",snmp,untunneled,no,no,0,NonProxyTraffic,,no,0,0,0,0,0,0,0,0,0,0
